Nummer,Probenbezeichnung,Konzentration_ppm,Matrix,Polymer,Alterung,mProben_mg,dHm_J/g,Tm_C
L331,DS Elbe-PE-60ppm-2,60,Sediment Elbe,Polyethylen,,0.95,47.86,131.6
L332,DS Elbe-PE-60ppm-2,60,Sediment Elbe,Polyethylen,,1.05,38.23,130.9
L333,DS Elbe-PE-60ppm-2,60,Sediment Elbe,Polyethylen,,0.92,34.65,130.9
L334,DS Elbe-PE-20ppm-1,20,Sediment Elbe,Polyethylen,,1.19,16.36,129.2
L335,DS Elbe-PE-20ppm-1,20,Sediment Elbe,Polyethylen,,1.17,6.867,130.3
L336,DS Elbe-PE-20ppm-1,20,Sediment Elbe,Polyethylen,,0.99,12.55,130.3
L337,DS Elbe-PE-20ppm-2,20,Sediment Elbe,Polyethylen,,1.01,4.391,130.4
L338,DS Elbe-PE-20ppm-2,20,Sediment Elbe,Polyethylen,,0.87,2.24,130.7
L339,DS Elbe-PE-20ppm-2,20,Sediment Elbe,Polyethylen,,1.14,0.7321,129.5
L340,DS Weis-PE-100ppm-1,100,Sediment Weißeritz,Polyethylen,,1.12,10.05,130.3
L341,DS Weis-PE-100ppm-1,100,Sediment Weißeritz,Polyethylen,,1.04,14.99,130.6
L342,DS Weis-PE-100ppm-1,100,Sediment Weißeritz,Polyethylen,,1.13,7.973,130.7
L343,DS Weis-PE-100ppm-2,100,Sediment Weißeritz,Polyethylen,,1.06,14.6,130.4
L344,DS Weis-PE-100ppm-2,100,Sediment Weißeritz,Polyethylen,,1.05,29.91,130.7
L345,DS Weis-PE-100ppm-2,100,Sediment Weißeritz,Polyethylen,,0.95,27.78,130.8
L346,DS Weis-PE-60ppm-1,60,Sediment Weißeritz,Polyethylen,,1.07,3.616,130.3
L347,DS Weis-PE-60ppm-1,60,Sediment Weißeritz,Polyethylen,,1.04,5.576,130.3
L348,DS Weis-PE-60ppm-1,60,Sediment Weißeritz,Polyethylen,,1.05,11.86,130.7
L349,DS Weis-PE-60ppm-2,60,Sediment Weißeritz,Polyethylen,,1.17,10.32,130.6
L350,DS Weis-PE-60ppm-2,60,Sediment Weißeritz,Polyethylen,,1.13,12.75,130.9
L351,DS Weis-PE-60ppm-2,60,Sediment Weißeritz,Polyethylen,,1.15,14.04,131.0
L352,DS Weis-PE-20ppm-1,20,Sediment Weißeritz,Polyethylen,,0.98,8.694,130.7
L353,DS Weis-PE-20ppm-1,20,Sediment Weißeritz,Polyethylen,,0.89,13.05,129.8
L354,DS Weis-PE-20ppm-1,20,Sediment Weißeritz,Polyethylen,,0.93,5.558,129.2
L355,DS Weis-PE-20ppm-2,20,Sediment Weißeritz,Polyethylen,,1.2,8.494,130.6
L356,DS Weis-PE-20ppm-2,20,Sediment Weißeritz,Polyethylen,,1.09,8.467,130.5
L357,DS Weis-PE-20ppm-2,20,Sediment Weißeritz,Polyethylen,,1.06,12.44,130.8
L358,DS Sand-PE-100ppm-1_2,100,Sand,Polyethylen,,1.11,133.3,131.5
L359,DS Sand-PE-100ppm-1_2,100,Sand,Polyethylen,,1.04,128.1,130.6
L360,DS Sand-PE-100ppm-1_2,100,Sand,Polyethylen,,1.09,127.1,130.6
L361,DS Sand-PE-100ppm-2_2,100,Sand,Polyethylen,,1.13,124.4,131.3
L362,DS Sand-PE-100ppm-2_2,100,Sand,Polyethylen,,1.18,128.6,131.4
L363,DS Sand-PE-100ppm-2_2,100,Sand,Polyethylen,,1.04,133.6,130.6
L364,DS Sand-PE-60ppm-1_2,60,Sand,Polyethylen,,1.02,144.1,131.3
L365,DS Sand-PE-60ppm-1_2,60,Sand,Polyethylen,,1.0,124.4,131.1
L366,DS Sand-PE-60ppm-1_2,60,Sand,Polyethylen,,1.07,145.1,130.7
L367,DS Sand-PE-60ppm-2_2,60,Sand,Polyethylen,,1.06,134.6,130.9
L368,DS Sand-PE-60ppm-2_2,60,Sand,Polyethylen,,1.05,135.3,131.0
L369,DS Sand-PE-60ppm-2_2,60,Sand,Polyethylen,,1.07,135.7,131.0
L370,DS Sand-PE-20ppm-1_2,20,Sand,Polyethylen,,0.97,147.6,130.7
L371,DS Sand-PE-20ppm-1_2,20,Sand,Polyethylen,,1.05,147.8,130.5
L372,DS Sand-PE-20ppm-1_2,20,Sand,Polyethylen,,1.09,150.6,130.5
L373,DS Sand-PE-20ppm-2_2,20,Sand,Polyethylen,,1.0,144.9,130.6
L374,DS Sand-PE-20ppm-2_2,20,Sand,Polyethylen,,1.04,133.7,131.2
L375,DS Sand-PE-20ppm-2_2,20,Sand,Polyethylen,,0.99,142.8,130.4
