Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)"
L333_S5,1.27399272373591,1.4506567576204923,1.5204246099299266,1.5502560474016496,1.5690251071053392,1.5883027652712507,1.5820334007890866,1.3548585304689829,1.7295339804313865,1.7393741662766062,1.7293423248127242,1.7402819683724573,1.7736087766983775,1.7922027975662604,1.8013490145656397
L334_S5,1.586893559409392,1.603608049540882,1.5859926720727242,1.5669954202489762,1.5398824189016944,1.4957948192434938,1.3797477635398017,0.8066294098623182,1.61393594823025,1.6343492330012468,1.6320880354991163,1.658218676493332,1.673253017420844,1.6825864720327546,1.6636181430783084
L335_S5,1.6213995989052172,1.6916195112823493,1.7017859643660702,1.6890972800643205,1.6561391559587784,1.6027955351862302,1.4739653246314963,0.8524302834087059,1.6636324209118705,1.652955050572299,1.618110132233458,1.5754013949109662,1.5521287514355748,1.538738469904615,1.5896299050062892
L336_S5,2.383522057415604,2.2698917130741494,2.1657119589682927,2.0848607248476516,1.987083063993528,1.8775641373134035,1.7122146189510632,1.0163341917051567,1.8516291074009064,1.8096583156888104,1.7866244620681866,1.7396590386595179,1.7136334650195062,1.6890721458069082,1.638153034920845
L337_S5,2.381957737274901,2.4304457614277934,2.4227608121469704,2.4177707313019625,2.404969662820503,2.37299184112744,2.2036649521326432,1.5072606752037445,2.442151835185813,2.4649290457310706,2.494247193982209,2.493437940590737,2.50212337495664,2.5126554034091337,2.513124089963307
L338_S5,3.0108911161976653,2.9478639059230125,2.870994321240232,2.821368871424995,2.776173429828275,2.7082677780769653,2.5326373907100668,1.6086811079424348,2.8025605292164437,2.788856515725539,2.7586934056443115,2.7408097246948673,2.7375644692000582,2.7322666578684243,2.716441161814452
L339_S5,2.767531979014451,2.801824044496072,2.8073029708299897,2.7930840877519625,2.7866017918392765,2.7661162938598336,2.617577377283852,1.8084858041938228,2.89180514023436,2.923050277147577,2.9567161077431345,2.9575395251628906,2.9757339720650067,3.0046611551439986,3.022356093074848
L340_S5,2.7290220979035955,2.7222813255172187,2.696882925436319,2.6688275351012942,2.624858352877964,2.5670839968248096,2.3966942069089288,1.5563224208197894,2.6274835505781176,2.6228742089200074,2.6256523158011564,2.604047045779159,2.589940097855165,2.5880940299400788,2.568951327634148
L341_S5,1.8293723831016615,1.8116633226870913,1.789829076663435,1.7680533002338459,1.7313737861153715,1.677730272522469,1.5720784376928174,1.0759925529855283,1.6693527780970847,1.664577112989491,1.608497216201017,1.568900503584803,1.5158444097532198,1.4618264831844416,1.4096761257146415
L342_S5,1.6868106742788551,1.4559797844665323,1.291868950470243,1.1831698574833105,1.0997007012925777,0.9875322262247156,0.8581146603957704,0.467948120305304,0.7996186712850072,0.7435660851800131,0.6503267833246699,0.58150953749509,0.49920132265589934,0.3982079146298249,0.3001190135010056
L343_S5,2.0903122293171643,2.011242537452277,1.9589159871111275,1.9413314974395288,1.9311561822809722,1.8983583246938123,1.8223678409560056,1.4179698091994968,1.8687189711907581,1.8608067170821194,1.8567136627288452,1.8446009835444188,1.8332115034161292,1.8316877862907028,1.819116670925579
L344_S5,2.4563938151857885,2.3211239032561406,2.225008557141699,2.1346291909644064,2.0487407332803667,1.938443249229476,1.7651432648302001,1.174202318411389,1.8171768259590368,1.7430149098114038,1.6458437999693307,1.579355301124401,1.4945667035986212,1.4122864573791232,1.3285651510476677
L345_S5,1.8800154584018838,1.7877842297424718,1.7115914263793717,1.6390714983978705,1.5684063610025334,1.4632606466266624,1.3541265812441352,1.0718265330185088,1.3046658887585247,1.2397347046433895,1.1512601923371175,1.0971319095800078,1.0299043553064748,0.9656827028066609,0.8912337516943983
L346_S5,1.4225918903566612,1.2392536745991152,1.0822311518165364,0.9818252049497908,0.8948180814528254,0.7804916054632043,0.6461889132888732,0.2962561381779141,0.6091919174783432,0.5491099277158904,0.44586686782863294,0.37109667065599955,0.2909729025102464,0.20543796813797846,0.12005476946912336
L347_S5,1.9944173598290929,1.8113880725443912,1.6766840529698792,1.5702946041319334,1.4757438563049698,1.3435002139904417,1.1893955181508433,0.7701071552573346,1.1771417835074873,1.1274946267361803,1.0672612537451427,1.0122010882745254,0.9504001581342593,0.8785917586181787,0.8029604821133324
L348_S5,1.678515687807267,1.725876723394759,1.7242850977985742,1.7211257017516017,1.714206747243934,1.651715681072217,1.5613242317599592,0.9872207944183778,1.8185060375871367,1.8581117578122508,1.8895741655523457,1.9263508367720392,1.9498026523744447,1.9775344798210515,2.000193010820686
