Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L163_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L164_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L165_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L166_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L167_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L168_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L169_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L170_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L171_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L172_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L173_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L174_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L175_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L176_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L178_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L179_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L180_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L181_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L182_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L183_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L184_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L185_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L186_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L187_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L188_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L189_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L190_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L191_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L192_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L193_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L194_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L195_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L196_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L197_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L198_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L199_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L200_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L201_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L202_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L203_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L204_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L205_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L206_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L207_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L208_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L209_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L210_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L211_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L212_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L213_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L214_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L215_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L216_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L217_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L218_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L219_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L220_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L221_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L222_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L223_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L224_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L225_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L226_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L227_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L228_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L229_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L230_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L231_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L232_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L233_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L234_S5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
